x1 y1 y2 y3 y4 y5
1.2450000000 1.1625090251 1.0735334567 0.9732802504 -0.0067362361 -0.0049795560
1.2500000000 1.3488901132 1.1196269341 0.9813853761 -0.0076157481 -0.0065436324
1.2550000000 1.0882601599 1.1483666414 0.9794220741 -0.0079447256 -0.0035366467
1.2600000000 0.8413626324 1.1771063488 0.9679899475 -0.0087478681 -0.0023654130
1.2650000000 0.6771625842 1.2242547478 0.9469970679 -0.0100524978 -0.0031882602
1.2700000000 0.5129625360 1.2732195933 0.9372500911 -0.0115375950 -0.0041181701
1.2750000000 0.7505247341 0.9438956113 0.9399944507 -0.0126497967 -0.0051062595
1.2800000000 1.1005353027 0.6895089492 0.9490624368 -0.0122923936 -0.0059881119
1.2850000000 1.3732049611 1.0538218948 0.9462504428 -0.0106671405 -0.0042743980
1.2900000000 1.6366354017 1.2483043534 0.9417459157 -0.0088449027 -0.0020228824
1.2950000000 1.6186527704 0.9955303955 0.9521130510 -0.0082975014 0.0001875771
1.3000000000 1.5808045172 0.8006617225 0.9633046896 -0.0078952438 0.0022381423
1.3050000000 1.1624949008 0.9097702566 0.9799374380 -0.0084508273 0.0032335236
1.3100000000 0.7452435265 1.0188787907 0.9899551523 -0.0088919349 0.0039727303
1.3150000000 0.8019541435 1.0189675388 0.9745027240 -0.0088922707 0.0037255773
1.3200000000 0.8586647606 1.0001819490 0.9608191034 -0.0083889942 0.0033872461
1.3250000000 0.9761592841 1.0514447459 0.9614474928 -0.0038108222 0.0023111615
1.3300000000 1.1229510654 1.0598566957 0.9620758822 0.0007673498 0.0012350769
1.3350000000 1.1098132725 0.9336194139 0.9646342576 0.0030841098 -0.0000867513
1.3400000000 1.0966754796 0.8633358276 0.9680876513 0.0043521550 -0.0015225414
1.3450000000 0.9036427776 0.9844580779 0.9636829311 0.0051173122 -0.0011652452
1.3500000000 0.6203214697 1.0830416043 0.9536155071 0.0055200788 0.0004841826
1.3550000000 0.8871708094 1.1113354104 0.9428171907 0.0050558157 0.0023734347
1.3600000000 1.1611451504 1.1396292166 0.9391847977 0.0047470451 0.0039689895
1.3650000000 1.1230123880 1.0712578989 0.9487436318 0.0048577749 0.0049910396
1.3700000000 1.0660191555 0.9971260524 0.9548807760 0.0046181391 0.0056606192
1.3750000000 1.1261544694 0.8898897484 0.9548436724 0.0037462883 0.0056941854
1.3800000000 1.2290643256 0.8422516301 0.9531583909 0.0037188581 0.0047903069
1.3850000000 0.9793346818 0.9910301849 0.9603074945 0.0029013460 0.0033611720
1.3900000000 0.7962410120 1.1384352296 0.9780355599 0.0008133696 0.0017984151
1.3950000000 0.8334613032 1.2423496054 0.9747761855 0.0004007483 0.0029167711
1.4000000000 0.8660456919 1.3462639812 0.9749420878 0.0002467255 0.0040210571
1.4050000000 0.8684702996 1.1525367659 0.9932278650 0.0014607005 0.0050509113
1.4100000000 0.8708949073 0.9584545262 1.0021371750 0.0025718759 0.0052446511
1.4150000000 1.0718477689 1.0580787371 0.9685547004 0.0032171892 0.0016493315
1.4200000000 1.2905365102 1.1503312503 0.9554290679 0.0041140416 -0.0001043928
1.4250000000 1.2694948009 1.2113659622 0.9608718665 0.0052392132 -0.0001865230
1.4300000000 1.1666526908 1.2724006742 0.9727099066 0.0046517460 -0.0003537735
1.4350000000 0.8660297117 1.0923367055 0.9799612660 0.0029495821 -0.0007691735
1.4400000000 0.6587009374 0.9672268169 0.9645292170 -0.0000424310 -0.0018545174
1.4450000000 0.7741607786 0.9600604814 0.9734606164 -0.0026181318 -0.0025293307
1.4500000000 0.8996898886 0.9651016123 0.9861689705 -0.0051292936 -0.0031405012
1.4550000000 1.1744880393 1.0095263049 0.9728415639 -0.0092460092 -0.0044357439
1.4600000000 1.3459101413 1.0539509975 0.9603327202 -0.0124072433 -0.0061151125
1.4650000000 1.1443733225 0.9092163441 0.9567651850 -0.0110397367 -0.0093422516
1.4700000000 0.9428365038 0.7888203844 0.9564826272 -0.0088077275 -0.0108134508
1.4750000000 0.7775765981 0.9025472777 0.9595838788 -0.0056852061 -0.0104758808
1.4800000000 0.6160519037 1.0061114594 0.9469858865 0.0016564734 -0.0054368707
1.4850000000 0.8434367911 1.0652098840 0.9366962407 0.0108902996 0.0013600845
1.4900000000 1.0738352724 1.0905600030 0.9502210669 0.0199599444 0.0071041956
1.4950000000 1.3147086785 1.0537366250 0.9478532521 0.0291656710 0.0130288128
1.5000000000 1.5555820846 1.0169132470 0.9407853283 0.0384116426 0.0190068132
1.5050000000 1.2472864316 1.0857825740 0.9588871916 0.0453222858 0.0209534104
1.5100000000 0.9419500359 1.1759304210 0.9821295149 0.0502943860 0.0218377006
1.5150000000 0.8448607922 1.1546609680 1.0098040197 0.0476471543 0.0208335856
1.5200000000 0.7784846996 1.1323594365 1.0263204738 0.0400545137 0.0152702700
1.5250000000 0.8097905041 1.1919693252 1.0314809139 0.0274287240 0.0050668657
1.5300000000 0.8410963086 1.2333133209 1.0317402667 0.0130574322 -0.0047373978
1.5350000000 1.1266692051 0.9838016522 1.0250954959 -0.0037727351 -0.0139793948
1.5400000000 1.3871923404 0.7672829347 0.9740358595 -0.0183837178 -0.0203966513
1.5450000000 1.1494577943 0.7111703605 0.9329193216 -0.0288844691 -0.0218233822
1.5500000000 1.0105910001 0.8347128680 0.9140861719 -0.0348165153 -0.0177323107
1.5550000000 1.2322171169 1.2538515828 0.9121342549 -0.0259335653 -0.0126652942
1.5600000000 1.4538432337 1.5368509430 0.9104912033 -0.0163990341 -0.0076369068
1.5650000000 1.2113385044 1.1288515366 0.8978998162 -0.0080425271 -0.0044928746
1.5700000000 0.9755715518 0.8695420637 0.8972877017 -0.0005089999 -0.0011718872
1.5750000000 1.0402398760 1.0899998809 0.9453818503 0.0036783915 0.0028685781
1.5800000000 1.0695837255 1.2973477029 0.9879435099 0.0076570739 0.0067759914
1.5850000000 0.8721861352 1.0894220227 0.9893814330 0.0100843944 0.0096944117
1.5900000000 0.6747885448 0.8814963426 0.9836920214 0.0093468771 0.0093718109
1.5950000000 0.7966883945 1.0000390018 0.9568469611 -0.0007846424 -0.0005709224
1.6000000000 0.9258310897 1.1359232519 0.9300019008 -0.0109161619 -0.0105136557
1.6050000000 0.9143456862 1.0920087956 0.9408139048 -0.0134684487 -0.0138140901
1.6100000000 0.8968167588 1.0480943393 0.9596034949 -0.0144150878 -0.0157073646
1.6150000000 0.9887194671 0.9900069290 0.9635637094 -0.0077854666 -0.0134703947
1.6200000000 1.1155228813 0.9231004193 0.9625630096 0.0009894397 -0.0098278927
1.6250000000 1.1495199147 0.9992024909 0.9649441097 0.0057704185 -0.0069885392
1.6300000000 1.1833705038 1.1019337376 0.9673252098 0.0105513974 -0.0041491858
1.6350000000 1.0244304214 1.1614807715 0.9834908561 0.0108134908 0.0003469668
1.6400000000 0.7844332440 1.1872945703 1.0008911839 0.0106708277 0.0049915188
1.6450000000 0.7692665626 1.0215766161 0.9992821811 0.0100374713 0.0042070397
1.6500000000 0.8078469464 0.9062433264 0.9836801019 0.0090429077 -0.0005738371
1.6550000000 1.1553342675 0.9239996424 0.9906371874 0.0091815867 -0.0034284678
1.6600000000 1.3128415917 0.9626249035 1.0004684028 0.0094646455 -0.0060376869
1.6650000000 1.1212078559 1.1845944700 1.0209954536 0.0121147199 -0.0054096629
1.6700000000 0.9456336958 1.3583007030 1.0405467469 0.0153527446 -0.0042066575
1.6750000000 0.9854478495 1.1383118631 1.0297057809 0.0175975256 -0.0059960007
1.6800000000 0.9934120330 0.9775365558 1.0188648149 0.0198423065 -0.0077853439
1.6850000000 0.7664973768 1.0158681066 0.9978343381 0.0182170358 -0.0094473114
1.6900000000 0.7116738672 1.0541993805 0.9760613190 0.0161105563 -0.0104162042
1.6950000000 1.0146205756 1.0683321405 0.9572594136 0.0138340911 -0.0069647856
1.7000000000 1.2828538491 1.0912678970 0.9393208483 0.0116021441 -0.0038211003
1.7050000000 1.3274892841 1.1486730664 0.9366950137 0.0101597991 -0.0061355627
1.7100000000 1.3721247191 1.1949508789 0.9340691791 0.0087174541 -0.0084500251
1.7150000000 1.2721739182 1.1654224527 0.9413810666 0.0054248751 -0.0100186862
1.7200000000 1.1688400583 1.1382443092 0.9493344619 0.0020128583 -0.0115392037
1.7250000000 1.0929304877 1.1199170119 0.9777788126 0.0021431296 -0.0063921427
1.7300000000 1.0090666578 1.1015897147 0.9963996076 0.0022463065 -0.0018841775
1.7350000000 0.8565460345 1.1016903098 0.9899433396 0.0019439681 0.0004776005
1.7400000000 0.7417473514 1.1028586727 0.9850841226 0.0011984964 0.0022410884
1.7450000000 0.7525245341 1.0317849312 0.9874037261 -0.0015388808 0.0013152334
1.7500000000 0.7945123688 0.9565377043 0.9897233297 -0.0042762580 0.0003893784
1.7550000000 0.9676857956 0.8955261717 0.9727379980 -0.0030883462 -0.0000952745
1.7600000000 1.1178581600 0.8461955875 0.9538625316 -0.0012271420 -0.0006670881
1.7650000000 0.9577945754 0.8323973729 0.9518751058 0.0018441072 -0.0037198020
1.7700000000 0.8651211045 0.8185991584 0.9553196651 0.0030728148 -0.0049593216
1.7750000000 0.9553910770 1.0329156577 0.9693193317 0.0007212064 -0.0026755509
1.7800000000 1.0425452125 1.2084726527 0.9769655576 -0.0014664993 -0.0008851853
1.7850000000 0.9688818258 1.1893776179 0.9801629843 -0.0035394373 0.0005596887
1.7900000000 0.9957224025 1.1690341647 0.9790908450 -0.0049794792 0.0009940827
1.7950000000 1.5385968433 1.1283488554 0.9816359314 -0.0060768557 0.0001013154
1.8000000000 1.7654595083 1.0967338933 1.0095113473 -0.0081698417 -0.0016508957
1.8050000000 1.4832983104 1.1082967822 1.0101237162 -0.0097034822 -0.0025891895
1.8100000000 1.2208434655 1.1299471774 1.0030367067 -0.0110791574 -0.0032976244
1.8150000000 0.9947593204 1.2381207476 1.0023678365 -0.0105842783 -0.0022193822
1.8200000000 0.8259846142 1.3044252935 1.0022525698 -0.0099280526 -0.0009870284
1.8250000000 1.1227327982 1.2202011298 0.9940538270 -0.0073544935 -0.0022320855
1.8300000000 1.3211280465 1.1359769662 0.9896543926 -0.0046485340 -0.0032835555
1.8350000000 1.1548676642 1.2111808368 1.0009661100 -0.0028573519 -0.0021609759
1.8400000000 0.9973923038 1.2695826529 1.0071896580 -0.0015277496 -0.0013221923
1.8450000000 0.8598029221 1.1492705935 0.9941326740 -0.0019472056 -0.0015587937
1.8500000000 0.7735331833 1.0316335186 0.9810756901 -0.0023666616 -0.0017953950
1.8550000000 0.8289974490 0.9485744224 0.9757350278 -0.0037230985 -0.0063021122
1.8600000000 0.8754708321 0.9140842869 0.9717473831 -0.0052693785 -0.0113721420
1.8650000000 0.8922173219 0.9573052593 0.9616265825 -0.0062168816 -0.0119887586
1.8700000000 0.9521982013 1.0005262316 0.9517518514 -0.0071056349 -0.0124939573
1.8750000000 1.1950543949 0.9051328316 0.9531509443 -0.0053027286 -0.0078944837
1.8800000000 1.2881168909 0.8067708720 0.9482179768 -0.0052628091 -0.0053613850
1.8850000000 1.0706270229 0.9204133611 0.9378686018 -0.0067309381 -0.0045958513
1.8900000000 0.8951609404 1.0269736877 0.9332382685 -0.0080203735 -0.0051807238
1.8950000000 1.0132724564 1.1105082286 0.9316704395 -0.0092003605 -0.0060433183
1.9000000000 1.0953574798 1.1556951589 0.9296397179 -0.0102852326 -0.0032494208
1.9050000000 1.0958232625 0.9010544986 0.9343362929 -0.0092986930 -0.0015801286
1.9100000000 1.0549683588 0.7880751951 0.9415238217 -0.0075451602 -0.0003272503
1.9150000000 0.8583154096 1.0065667536 0.9495435511 -0.0062934966 -0.0005678086
1.9200000000 0.7660594206 1.2136319130 0.9574268990 -0.0053905293 -0.0015795669
1.9250000000 0.8084157178 1.2090384971 0.9453084728 -0.0076258242 -0.0025321784
1.9300000000 0.8537257097 1.1706836816 0.9342880219 -0.0092247897 -0.0021005200
1.9350000000 0.9266532570 0.9211148777 0.9255883822 -0.0094787336 0.0012570960
1.9400000000 0.9864659664 0.7671294915 0.9133759331 -0.0099738943 0.0032674841
1.9450000000 0.9103407711 0.9327284415 0.8994263890 -0.0107002166 0.0042028982
1.9500000000 1.0063589423 1.0167309098 0.9095891351 -0.0124429578 0.0046227324
1.9550000000 1.8094012787 0.9146315979 0.9232989576 -0.0122838125 0.0054979111
1.9600000000 2.6842310468 0.8451490937 0.9419159913 -0.0094934978 0.0070030371
1.9650000000 3.6760895303 0.9962682214 0.9691391135 -0.0049310475 0.0089566206
1.9700000000 4.4042051114 1.0831293197 0.9993034040 0.0002955353 0.0104462330
1.9750000000 3.8429800678 1.0669159863 1.0343422181 0.0071132576 0.0059919904
1.9800000000 2.9125606828 1.0603654523 1.0970958701 0.0104671241 0.0026319246
1.9850000000 0.5219795966 1.1456566220 1.1996370390 0.0088482672 0.0008426628
1.9900000000 -1.5857951216 1.2272259831 1.2311270559 0.0139432368 0.0012817173
1.9950000000 -2.5110353001 1.2582556048 1.2187345558 0.0231847909 0.0030970215
2.0000000000 -3.3883869374 1.2892852264 1.0767108277 0.0369218088 0.0035997340
