x z1 z2 p1 p2 r1 r2
0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000
0.0100000000 0.0903511305 0.0532790035 -0.2189746968 -0.0776414452 0.1381124179 0.1303382866
0.0200000000 0.1816174393 0.0998309132 -0.4386954459 -0.1441967300 0.2318088952 0.2111976780
0.0300000000 0.2437192704 0.1278537217 -0.5887603652 -0.1834540741 0.3224212834 0.2835813207
0.0400000000 0.2797406854 0.1427911086 -0.6431365245 -0.1950562508 0.3245419466 0.2663650051
0.0500000000 0.3039992155 0.1547483394 -0.6693981531 -0.2051077517 0.2772431147 0.2035213540
0.0600000000 0.3287590432 0.1694724303 -0.7614994469 -0.2430806490 0.2312665329 0.1447530670
0.0700000000 0.3537311626 0.1855540888 -0.8632785758 -0.2793593137 0.1858788697 0.0904339444
0.0800000000 0.3833427822 0.2046974642 -0.9379414894 -0.3064605867 0.1621725860 0.0600178079
0.0900000000 0.3975384483 0.2139294744 -1.0148763234 -0.3335290679 0.1653443762 0.0577133583
0.1000000000 0.3742215902 0.2019808826 -1.0739889006 -0.3538722200 0.2228445790 0.1077112261
0.1100000000 0.3430079817 0.1884625862 -1.0288665513 -0.3351008455 0.3244727263 0.1969878451
0.1200000000 0.3089776841 0.1731400979 -0.8782195345 -0.2853156738 0.3725363862 0.2296268220
0.1300000000 0.2628320586 0.1505475682 -0.7214151051 -0.2367459967 0.3082727823 0.1540236775
0.1400000000 0.2132421692 0.1251725251 -0.6369505598 -0.2125965958 0.2332810210 0.0734508645
0.1500000000 0.1739176856 0.1049366925 -0.5703790199 -0.1838053539 0.2395228259 0.0750894466
0.1600000000 0.1553066148 0.0941090062 -0.4535691684 -0.1326153807 0.2223457500 0.0538052127
0.1700000000 0.1499598985 0.0876195211 -0.3366274409 -0.0792764706 0.1646885854 -0.0031929386
0.1800000000 0.1498990961 0.0812006386 -0.2696525569 -0.0413881952 0.1224636468 -0.0419851764
0.1900000000 0.1511527812 0.0738797120 -0.2416482304 -0.0106278047 0.1211100664 -0.0385482773
0.2000000000 0.1584558059 0.0694205238 -0.1662811335 0.0414936731 0.2496855427 0.0886860564
0.2100000000 0.1669432242 0.0650631320 -0.0935660813 0.0897557329 0.4194478234 0.2465231433
0.2200000000 0.1671773147 0.0561661288 -0.0443811812 0.1309592286 0.5296074113 0.3381873528
0.2300000000 0.1550957613 0.0414018065 0.0354401679 0.1827406685 0.5681581164 0.3553555232
0.2400000000 0.1513548458 0.0340517620 0.1126871218 0.2301667864 0.5666210180 0.3328824332
0.2500000000 0.1501141605 0.0282422729 0.1683473139 0.2681305410 0.5280788032 0.2752589500
0.2600000000 0.1340020649 0.0149078154 0.1925939265 0.2930572621 0.4740883647 0.2064312624
0.2700000000 0.1409829063 0.0176587237 0.1733279891 0.3016706952 0.5073576575 0.2245601301
0.2800000000 0.1780389418 0.0369851029 0.1026311445 0.2907091524 0.5782482888 0.2765619707
0.2900000000 0.2094306984 0.0513122625 0.0162532656 0.2739083410 0.6544517340 0.3310401287
0.3000000000 0.2242020683 0.0568997508 -0.0735896958 0.2510279089 0.7551899926 0.4051976948
0.3100000000 0.2315856965 0.0607272043 -0.2058957280 0.2079744996 0.8149026906 0.4354727441
0.3200000000 0.2351086689 0.0645143105 -0.3563057086 0.1553413951 0.8217334720 0.4137149922
0.3300000000 0.2463496775 0.0749133114 -0.4878303662 0.1046919303 0.8641486384 0.4273146144
0.3400000000 0.2849397063 0.1019198127 -0.5913703985 0.0573536280 0.9503425424 0.4810146019
0.3500000000 0.3258625789 0.1282302985 -0.6920198629 0.0037549308 1.0608932045 0.5548375784
0.3600000000 0.3311628467 0.1335919987 -0.7843281766 -0.0508791127 1.1909836430 0.6422980846
0.3700000000 0.3041376449 0.1232676884 -0.8137876153 -0.0867020164 1.2723897378 0.6777654714
0.3800000000 0.2757078907 0.1159639422 -0.8176582306 -0.1199766177 1.2851385437 0.6457692696
0.3900000000 0.2672421944 0.1212981763 -0.7771899599 -0.1381542285 1.2822993729 0.6010283862
0.4000000000 0.2443637521 0.1158381504 -0.7162911213 -0.1530643697 1.3071513789 0.5853410959
0.4100000000 0.2002733845 0.0986162115 -0.6889053741 -0.1773079029 1.4097649172 0.6451114398
0.4200000000 0.1793538730 0.0957454133 -0.6847292157 -0.2052776444 1.5967624057 0.7814370281
0.4300000000 0.2029578299 0.1164469335 -0.6948998078 -0.2313495169 1.7145312962 0.8431709924
0.4400000000 0.2301362438 0.1334102046 -0.6741749261 -0.2407293051 1.7389457117 0.8134916231
0.4500000000 0.2578301769 0.1493005971 -0.6949115333 -0.2628823620 1.7329763614 0.7565012831
0.4600000000 0.2972518115 0.1700509223 -0.7647200225 -0.2937312949 1.6951621966 0.6731355661
0.4700000000 0.3102964758 0.1740202473 -0.8143126624 -0.3104017849 1.6237284604 0.5633155506
0.4800000000 0.2899169213 0.1602862914 -0.8159990339 -0.3059312626 1.5102458591 0.4213551316
0.4900000000 0.2808725152 0.1569059075 -0.7984257293 -0.2946571324 1.4456774677 0.3364694514
0.5000000000 0.2936299478 0.1654496559 -0.7973343069 -0.2863103223 1.4436100853 0.3171350546
0.5100000000 0.3175567862 0.1790940533 -0.8197595257 -0.2824416921 1.4758351330 0.3335921151
0.5200000000 0.3546562705 0.1983331348 -0.8483111664 -0.2748246626 1.4987425798 0.3410941490
0.5300000000 0.3768069253 0.2068523510 -0.8201234598 -0.2432163685 1.4329843408 0.2651844105
0.5400000000 0.4152941355 0.2265626020 -0.7418048795 -0.1948681816 1.3117955979 0.1425401164
0.5500000000 0.4633514206 0.2495383029 -0.6421659179 -0.1396497801 1.2343303425 0.0701085730
0.5600000000 0.4959785473 0.2636006579 -0.5407118993 -0.0836974143 1.2971151699 0.1362637694
0.5700000000 0.5280308771 0.2780966210 -0.4371880080 -0.0247574480 1.4142538814 0.2495723039
0.5800000000 0.5393460035 0.2809470302 -0.3561871150 0.0270403931 1.4859771356 0.3133346727
0.5900000000 0.5531564929 0.2879816291 -0.2949805888 0.0754759983 1.4904266400 0.3086009818
0.6000000000 0.5823496664 0.3037759317 -0.2408897158 0.1223238803 1.4790792112 0.2890897926
0.6100000000 0.6174519882 0.3223095555 -0.2144025015 0.1599585980 1.4891307793 0.2896298695
0.6200000000 0.6547331690 0.3408454707 -0.2168339890 0.1872308955 1.5844395403 0.3710408436
0.6300000000 0.6744172104 0.3484924231 -0.2745255400 0.1940714700 1.7997481091 0.5596922567
0.6400000000 0.6684704992 0.3422635198 -0.3828439469 0.1833111150 2.0060460114 0.7266040201
0.6500000000 0.6501210500 0.3312023474 -0.4581681897 0.1838288919 2.1578138873 0.8301083659
0.6600000000 0.6407147530 0.3267639934 -0.4339322842 0.2124329999 2.3421105905 0.9567355848
0.6700000000 0.6538586857 0.3348852143 -0.3349117050 0.2553025860 2.5399544174 1.0855822182
0.6800000000 0.6697011267 0.3416086786 -0.2401456092 0.2853762530 2.7688358598 1.2348737767
0.6900000000 0.6708642789 0.3386355582 -0.2292098275 0.2803596075 3.0061118005 1.3799396511
0.7000000000 0.6383780582 0.3157424212 -0.2647644378 0.2611047755 3.1665256955 1.4417122697
0.7100000000 0.5816755690 0.2819131207 -0.2912922082 0.2443865883 3.2342698891 1.4097767961
0.7200000000 0.5450021523 0.2620311516 -0.2769526775 0.2396156302 3.2941753615 1.3723117404
0.7300000000 0.5105161235 0.2415304559 -0.2623310755 0.2274874802 3.4193218638 1.3981352005
0.7400000000 0.4688630374 0.2163891601 -0.2739283702 0.2038988350 3.5051870595 1.3849906433
0.7500000000 0.4366304757 0.1962993575 -0.2769914361 0.1813136255 3.5240467847 1.3102183510
0.7600000000 0.4050078908 0.1753771506 -0.2697070820 0.1604478112 3.5467447193 1.2452850297
0.7700000000 0.3847456630 0.1610298418 -0.2347389683 0.1471238809 3.5781364346 1.1940211560
0.7800000000 0.3910914264 0.1611804294 -0.2111175998 0.1264595001 3.5801467309 1.1202116355
0.7900000000 0.3992990481 0.1600965370 -0.2209600649 0.0946848442 3.5134867052 0.9879108843
0.8000000000 0.4275098034 0.1716023705 -0.1919038219 0.0796503233 3.3148981930 0.7409737861
0.8100000000 0.4548192464 0.1805538542 -0.1297056082 0.0740433926 3.0882933097 0.4866308450
0.8200000000 0.4490576491 0.1722103796 -0.0746138021 0.0658639119 2.9720347713 0.3559202153
0.8300000000 0.4519927305 0.1732612807 -0.0159223131 0.0606286322 2.8983767387 0.2766606539
0.8400000000 0.4548394847 0.1755050235 0.0414677909 0.0572321113 2.7783832095 0.1618327387
0.8500000000 0.4490351047 0.1750015316 0.0677264763 0.0452645548 2.6423105914 0.0422466015
0.8600000000 0.4645403571 0.1891715145 0.0953714291 0.0397248268 2.5432497162 -0.0322201598
0.8700000000 0.5201628907 0.2266980647 0.1530768910 0.0470454694 2.5116886020 -0.0358162888
0.8800000000 0.5647773135 0.2543456398 0.1835038651 0.0457084111 2.4937698608 -0.0253361503
0.8900000000 0.5514312685 0.2495515168 0.1578768514 0.0286600051 2.5281175757 0.0357877203
0.9000000000 0.5158086524 0.2375562521 0.0795603350 -0.0012101397 2.6275368199 0.1540001175
0.9100000000 0.4748272679 0.2258344418 -0.0066813257 -0.0277102342 2.6694149097 0.2092517619
0.9200000000 0.4367291134 0.2179070394 -0.0645453512 -0.0422403209 2.6602357098 0.2113835444
0.9300000000 0.4018805290 0.2112424437 -0.0934784085 -0.0471900546 2.7612537292 0.3166988856
0.9400000000 0.3720492612 0.2069501592 -0.1364720064 -0.0594947550 2.9585440827 0.5032976760
0.9500000000 0.3534070788 0.2072486704 -0.1691160421 -0.0658667045 3.1104317404 0.6326337058
0.9600000000 0.3380470116 0.2073712066 -0.2027330548 -0.0744762376 3.2002003304 0.6920292202
0.9700000000 0.3278670212 0.2087482846 -0.2221801616 -0.0753778529 3.2357410603 0.6931379434
0.9800000000 0.3420290802 0.2231172823 -0.1865074059 -0.0584680840 3.2835960336 0.7033442451
0.9900000000 0.3422187705 0.2252293339 -0.1252638462 -0.0343029468 3.3391171974 0.7171248205
1.0000000000 0.3209331707 0.2159219064 -0.0558679473 -0.0088759236 3.3988953092 0.7326791947
1.0100000000 0.3198639882 0.2193131099 0.0187720422 0.0195979357 3.5098761424 0.7943218332
1.0200000000 0.3012945346 0.2104816618 0.1188254521 0.0579079184 3.6443635306 0.8733160929
