x y z
0.582260225 0.249510155 6
0.584186837 0.253410765 6
0.693266396 0.23069647 6
0.669008075 0.242652651 6
0.548297427 0.256764218 6
0.5769598 0.269013061 6
0.707049123 0.282701305 6
0.676865236 0.263122979 6
0.548451636 0.225695055 6
0.576501344 0.241890965 6
0.68619788 0.231231327 6
0.678207779 0.222023027 6
0.577866102 0.257662777 6
0.581705598 0.262299421 6
0.68607514 0.270100511 6
0.658106542 0.266250039 6
0.545803637 0.278283828 6
0.589212882 0.286930172 6
0.674489357 0.244798663 6
0.651442191 0.23157827 6
0.562099515 0.236637749 6
0.587033521 0.247024379 6
0.697974304 0.280089293 6
0.683115084 0.253231417 6
0.59100082 0.264050561 6
0.599275712 0.269094425 6
0.701176055 0.268644303 6
0.675659258 0.262892111 6
0.556495608 0.304111244 6
0.581012379 0.313867398 6
0.710478965 0.305527715 6
0.698703677 0.25966418 6
0.593797855 0.291832494 6
0.612298529 0.299593052 6
0.703284377 0.303756042 6
0.670260426 0.280685352 6
0.563830573 0.255433904 6
0.617942798 0.27581514 6
0.731545407 0.299645335 6
0.692841214 0.284242135 6
0.571661493 0.270675336 6
0.598558735 0.281462633 6
0.694947191 0.251200489 6
0.668141449 0.273520207 6
0.556380023 0.273705313 6
0.573387742 0.260783966 6
0.693566866 0.285765322 6
0.683959179 0.272876726 6
0.547654514 0.278515836 6
0.570028213 0.285590681 6
0.692613222 0.289258648 6
0.663204153 0.260772308 6
0.562557794 0.301394298 6
0.615761707 0.314719022 6
0.694573904 0.235040126 6
0.684628021 0.287874245 6
0.571139342 0.284945687 6
0.595833883 0.292362864 6
0.698704751 0.258016881 6
0.65653832 0.230109203 6
0.570630026 0.291923309 6
0.601875491 0.295790845 6
0.714946814 0.3088402 6
0.688022407 0.294892196 6
0.560471632 0.301088375 6
0.580262645 0.298361901 6
0.697667855 0.265403903 6
0.679877445 0.267862696 6
0.557396559 0.250097916 6
0.596418159 0.26646151 6
0.695429441 0.236058008 6
0.698173202 0.340349136 6
0.57793056 0.312029828 6
0.599849932 0.301195914 6
0.689938356 0.270709337 6
0.680771539 0.267502257 6
0.581668025 0.287236615 6
0.624490447 0.305334443 6
0.710944927 0.269555096 6
0.649055209 0.233599618 6
0.658347509 0.232274493 6
0.743449673 0.247731801 6
0.71468785 0.223072313 6
0.631159458 0.243587762 6
0.658842682 0.249468824 6
0.748560158 0.274270151 6
0.726941149 0.260859691 6
0.631737284 0.207849785 6
0.645410667 0.222255283 6
0.734487642 0.244525682 6
0.730523327 0.211787198 6
0.646126823 0.214401693 6
0.653539205 0.237719821 6
0.736892851 0.283228218 6
0.714830221 0.257582431 6
0.625679604 0.245386128 6
0.658911171 0.249476659 6
0.720043707 0.239323676 6
0.704469946 0.215900985 6
0.639570623 0.21976014 6
0.665010654 0.240816029 6
0.744461152 0.286981398 6
