x y1 y2
0.0000000000 -0.0000000000 0.0000000000
0.0100000000 0.1339792256 0.1332970857
0.0200000000 0.2190206817 0.2155249224
0.0300000000 0.2979251767 0.2887400962
0.0400000000 0.2879164448 0.2700270952
0.0500000000 0.2330449201 0.2047972055
0.0600000000 0.1829040853 0.1441243491
0.0700000000 0.1366437149 0.0883980086
0.0800000000 0.1133403726 0.0574445408
0.0900000000 0.1169143426 0.0554174029
0.1000000000 0.1723435023 0.1068840996
0.1100000000 0.2671768465 0.1982612925
0.1200000000 0.3043226099 0.2312153979
0.1300000000 0.2310091090 0.1531801392
0.1400000000 0.1518619715 0.0702969080
0.1500000000 0.1552694244 0.0718386472
0.1600000000 0.1336617926 0.0498900378
0.1700000000 0.0736740181 -0.0085941207
0.1800000000 0.0301630246 -0.0483480991
0.1900000000 0.0276269571 -0.0448524911
0.2000000000 0.1503529956 0.0851564273
0.2100000000 0.3050311428 0.2458089926
0.2200000000 0.3945071870 0.3379631072
0.2300000000 0.4110811107 0.3534070354
0.2400000000 0.3900496459 0.3282239552
0.2500000000 0.3350765274 0.2672645686
0.2600000000 0.2692942474 0.1952375381
0.2700000000 0.2921410631 0.2126221737
0.2800000000 0.3493721383 0.2647236566
0.2900000000 0.4092910725 0.3192210759
0.3000000000 0.4901149757 0.3936477398
0.3100000000 0.5273194685 0.4228872001
0.3200000000 0.5124056503 0.3987786729
0.3300000000 0.5342026662 0.4109723220
0.3400000000 0.5974506463 0.4641978754
0.3500000000 0.6819812819 0.5378479016
0.3600000000 0.7817268045 0.6251682336
0.3700000000 0.8299426593 0.6589462657
0.3800000000 0.8104230677 0.6235634576
0.3900000000 0.7780736781 0.5752997682
0.4000000000 0.7746072848 0.5569851540
0.4100000000 0.8470569063 0.6159590614
0.4200000000 0.9972096554 0.7529794035
0.4300000000 1.0715657604 0.8130243974
0.4400000000 1.0529382095 0.7791545637
0.4500000000 1.0060281715 0.7173446056
0.4600000000 0.9304625560 0.6287169839
0.4700000000 0.8247171375 0.5132731914
0.4800000000 0.6814164749 0.3652519374
0.4900000000 0.5904826322 0.2759932516
0.5000000000 0.5603411366 0.2538523783
0.5100000000 0.5611829835 0.2680302621
0.5200000000 0.5484055815 0.2725048895
0.5300000000 0.4465808134 0.1911095531
0.5400000000 0.2930613885 0.0617257037
0.5500000000 0.1865829192 -0.0161964029
0.5600000000 0.2180687754 0.0476146755
0.5700000000 0.2959825602 0.1590441977
0.5800000000 0.3235029587 0.2189577909
0.5900000000 0.2825522557 0.2082042586
0.6000000000 0.2283323336 0.1821651530
0.6100000000 0.1965263479 0.1766568877
0.6200000000 0.2496066437 0.2539343514
0.6300000000 0.4159334105 0.4406860474
0.6400000000 0.5655623330 0.6045543830
0.6500000000 0.6572139928 0.7030293535
0.6600000000 0.7798887180 0.8250080624
0.6700000000 0.9125806886 0.9491300764
0.6800000000 1.0740152374 1.0941296881
0.6900000000 1.2391596587 1.2347006060
0.7000000000 1.3266613897 1.2899947169
0.7100000000 1.3243594801 1.2496733521
0.7200000000 1.3199658869 1.2043539639
0.7300000000 1.3818175908 1.2244228231
0.7400000000 1.4038587166 1.2049032847
0.7500000000 1.3612482829 1.1225995282
0.7600000000 1.3252292599 1.0507373522
0.7700000000 1.2982875273 0.9930722892
0.7800000000 1.2422947416 0.9123527234
0.7900000000 1.1193889324 0.7717367212
0.8000000000 0.8704589298 0.5138962477
0.8100000000 0.6028227892 0.2489171986
0.8200000000 0.4490387304 0.1108120069
0.8300000000 0.3355018285 0.0251196392
0.8400000000 0.1741905604 -0.0975498272
0.8500000000 -0.0024479022 -0.2256173727
0.8600000000 -0.1422778024 -0.3080232721
0.8700000000 -0.2172234459 -0.3185492725
0.8800000000 -0.2829841503 -0.3155337004
0.8900000000 -0.2997044282 -0.2615150591
0.9000000000 -0.2578656788 -0.1499743547
0.9100000000 -0.2775712482 -0.1037820175
0.9200000000 -0.3471744036 -0.1124332895
0.9300000000 -0.3057941865 -0.0155525609
0.9400000000 -0.1739769973 0.1642454912
0.9500000000 -0.0915376389 0.2850302577
0.9600000000 -0.0705563202 0.3341632012
0.9700000000 -0.0994798572 0.3240043995
0.9800000000 -0.1105405232 0.3238709981
0.9900000000 -0.1105176391 0.3281382996
1.0000000000 -0.1024073538 0.3349540528
1.0100000000 -0.0416987204 0.3895932224
1.0200000000 0.0418641038 0.4624083149
1.0300000000 0.1137484905 0.5189075755
1.0400000000 0.2175136221 0.6029478908
1.0500000000 0.3418246773 0.7030346680
1.0600000000 0.3642807857 0.6969505926
1.0700000000 0.2598411773 0.5616801667
1.0800000000 0.1352947904 0.4072841545
1.0900000000 0.0681567849 0.3138224033
1.1000000000 0.0323076960 0.2562828136
1.1100000000 -0.0306200592 0.1767566531
1.1200000000 -0.0638906377 0.1324710094
1.1300000000 -0.0671860455 0.1233107255
1.1400000000 -0.1180536120 0.0710979945
1.1500000000 -0.2035410958 -0.0112104887
1.1600000000 -0.3101428403 -0.1098326979
1.1700000000 -0.4131125888 -0.1997256162
1.1800000000 -0.4455118648 -0.2141948290
1.1900000000 -0.4247759041 -0.1721574234
1.2000000000 -0.3698541278 -0.0945191219
1.2100000000 -0.3555064875 -0.0580668537
1.2200000000 -0.4408359696 -0.1225383569
1.2300000000 -0.5194594543 -0.1808889149
1.2400000000 -0.5772966196 -0.2187689789
1.2500000000 -0.6139920197 -0.2358095909
1.2600000000 -0.5762142501 -0.1792239180
1.2700000000 -0.5595061171 -0.1458570400
1.2800000000 -0.6385281822 -0.2106267468
1.2900000000 -0.7518221409 -0.3109770787
1.3000000000 -0.8845259381 -0.4307313665
1.3100000000 -1.0222123844 -0.5541158842
1.3200000000 -1.1373627743 -0.6526686397
1.3300000000 -1.2653222379 -0.7613120610
1.3400000000 -1.4034368800 -0.8769277082
1.3500000000 -1.5124616744 -0.9600471185
1.3600000000 -1.5781556691 -0.9968878426
1.3700000000 -1.6558947387 -1.0438398917
1.3800000000 -1.8068608031 -1.1625350014
1.3900000000 -1.9572889915 -1.2787289228
1.4000000000 -2.0271938861 -1.3125198364
1.4100000000 -2.0755978023 -1.3241519205
1.4200000000 -2.0619108603 -1.2743562953
1.4300000000 -2.0045698494 -1.1837207177
1.4400000000 -1.9306647338 -1.0813185292
1.4500000000 -1.7542242025 -0.8832416381
1.4600000000 -1.5829152867 -0.6998474077
1.4700000000 -1.4401111138 -0.5559356445
1.4800000000 -1.3381334926 -0.4642983870
1.4900000000 -1.2444774195 -0.3916467825
1.5000000000 -1.0947637022 -0.2728670213
1.5100000000 -1.0096639507 -0.2280871584
1.5200000000 -0.9944840255 -0.2606904325
1.5300000000 -1.0357125631 -0.3544608004
1.5400000000 -1.1141489932 -0.4869427695
1.5500000000 -1.2146564073 -0.6399398138
1.5600000000 -1.2992832038 -0.7727686986
1.5700000000 -1.3572721453 -0.8730680231
1.5800000000 -1.4231278268 -0.9744481419
1.5900000000 -1.4656509736 -1.0452611793
1.6000000000 -1.5161874248 -1.1170465153
1.6100000000 -1.5935904265 -1.2088269255
1.6200000000 -1.7250628082 -1.3477684560
1.6300000000 -1.8088083693 -1.4316636785
1.6400000000 -1.8033635481 -1.4201144295
1.6500000000 -1.7536928059 -1.3602012774
1.6600000000 -1.7018892719 -1.2965254018
1.6700000000 -1.6782728782 -1.2612705994
1.6800000000 -1.6647022311 -1.2375088281
1.6900000000 -1.6484055772 -1.2132194549
1.7000000000 -1.5936593943 -1.1534081274
1.7100000000 -1.5770966737 -1.1355707864
1.7200000000 -1.6115882944 -1.1723643951
1.7300000000 -1.5673092416 -1.1333566387
1.7400000000 -1.4496101675 -1.0246081769
1.7500000000 -1.3428025429 -0.9315919642
1.7600000000 -1.2701694531 -0.8780903273
1.7700000000 -1.2358377433 -0.8678853097
1.7800000000 -1.2282577482 -0.8884193703
1.7900000000 -1.2373191535 -0.9282574746
1.8000000000 -1.2508096626 -0.9738033969
1.8100000000 -1.2934759240 -1.0485292043
1.8200000000 -1.3870408152 -1.1725660917
1.8300000000 -1.5380681670 -1.3504995627
1.8400000000 -1.6675602329 -1.5011806546
1.8500000000 -1.7729317263 -1.6210340128
1.8600000000 -1.8498660233 -1.7053908255
1.8700000000 -1.8622969965 -1.7188665848
1.8800000000 -1.8371606058 -1.6899881057
1.8900000000 -1.7984640087 -1.6447522870
1.9000000000 -1.7486990853 -1.5874747507
1.9100000000 -1.6810690406 -1.5131077573
1.9200000000 -1.6068097761 -1.4344507626
1.9300000000 -1.4921905402 -1.3191439107
1.9400000000 -1.3990405488 -1.2304708806
1.9500000000 -1.3348312616 -1.1763545347
1.9600000000 -1.2127706372 -1.0700885684
1.9700000000 -1.0485692373 -0.9280883024
1.9800000000 -0.8901873266 -0.7990667714
1.9900000000 -0.7545384094 -0.7000981491
2.0000000000 -0.6416975085 -0.6307509441
2.0100000000 -0.5872264189 -0.6254768861
2.0200000000 -0.5238643538 -0.6151105605
2.0300000000 -0.4310133404 -0.5777591570
2.0400000000 -0.3499781753 -0.5537480707
2.0500000000 -0.2859678836 -0.5472964006
2.0600000000 -0.2762220779 -0.5943884956
2.0700000000 -0.2276496991 -0.6003402707
2.0800000000 -0.1468162755 -0.5712724655
2.0900000000 -0.1635440039 -0.6366714661
2.1000000000 -0.2547774548 -0.7718397819
2.1100000000 -0.3042451170 -0.8586425840
2.1200000000 -0.3184535815 -0.9030534666
2.1300000000 -0.3677835651 -0.9754884066
2.1400000000 -0.4576439856 -1.0810850574
2.1500000000 -0.5065194438 -1.1379803705
2.1600000000 -0.4583733932 -1.0910534712
2.1700000000 -0.4155847012 -1.0448146074
2.1800000000 -0.4024586554 -1.0251294050
2.1900000000 -0.3792729032 -0.9934129739
2.2000000000 -0.2914454341 -0.8963169343
2.2100000000 -0.1947730868 -0.7916105202
2.2200000000 -0.0986693628 -0.6900944962
2.2300000000 0.0184548614 -0.5714462979
2.2400000000 0.1098715610 -0.4832887430
2.2500000000 0.2599836124 -0.3416225743
