w a1 a2
1.0000000000 -10.5678704189 -10.5063861944
1.0419778122 -9.8494800179 -9.7675831691
1.2169374889 -7.1344170326 -7.0350502422
1.4212748433 -4.4125826084 -4.2898528365
1.6599227148 -1.6815335413 -1.5273854071
1.9386422211 1.0620438976 1.2586123637
2.2641618359 3.8226343567 4.0766310790
2.6443398186 6.6062884368 6.9381415542
3.0883539177 9.4211331371 9.8585301569
3.6069229279 12.2780121718 12.8581427192
4.2125654490 15.1912454405 15.9132542770
4.2529831114 15.3726975927 16.1043385685
4.8853918625 18.0419723442 18.9903467322
5.5153564373 20.4402002474 21.6219830648
6.1327939739 22.5971581070 24.0131793922
6.7294270619 24.5368484440 26.1670481308
7.2988413604 26.2789179409 28.0790680190
7.8364046303 27.8399098591 29.7420227333
8.3390949094 29.2342976385 31.1522048489
8.8052785629 30.4752748488 32.3150662289
9.2975234617 31.7335226156 33.3732225401
9.8939417025 33.1870862032 34.4069520504
10.0000000000 33.4373091678 34.5622962044
10.6226353939 34.8540161611 35.3117995641
10.7942256277 35.2281535726 35.4486720606
11.6402587983 36.9613043167 36.0141249775
12.4480465070 38.4256225061 36.3217422054
13.3118914729 39.7617290830 36.4858633736
14.1778610959 40.8496909048 36.5770743683
14.3552550394 41.0417458160 36.5905938587
15.3367035770 41.9278546199 36.6650137953
15.6267078585 42.1372289668 36.6901877826
16.7477919913 42.7630498714 36.7868236772
17.1916999619 42.9452244351 36.8394076870
18.4833629386 43.3310238247 36.9906279674
19.1398138651 43.4705440916 37.0926843183
20.6421711260 43.7128095153 37.3218347733
21.5957539488 43.8375465600 37.5004847132
23.3614760988 44.0497134633 37.8218865865
24.7363338597 44.2140928148 38.1084851298
26.8355072212 44.4762220185 38.5286056615
27.1309029761 44.5143706977 38.5934099796
31.6864836764 45.1325895906 39.5576463474
37.0069971006 45.8767590253 40.6489283090
43.2208839703 46.6958901431 41.8560987662
50.4781516343 47.5164149415 43.1447051327
58.9539953456 48.2420043059 44.4885407187
68.8530275907 48.7561871665 45.8324298585
80.4142175711 48.9446816307 47.0688134754
93.9166600780 48.7394958376 47.9977541769
100.0000000000 48.5447566256 48.2565784294
109.6863130255 48.1525156088 48.3963653921
128.1038662909 47.2618995678 48.0811704294
149.6139318210 46.1657465038 47.2020503328
174.7357768586 44.9459836360 45.9361203091
204.0758593985 43.6578352841 44.5332377772
238.3424684858 42.3341907054 43.0443797668
278.3628227824 40.9932178799 41.5527883533
325.1030401742 39.6444475596 40.0798937676
379.6914604977 38.2926584841 38.6307224870
443.4458844115 36.9401206639 37.2037888434
517.9053859776 35.5878238211 35.7955319607
604.8674669302 34.2361284875 34.4021487719
706.4314495589 32.8851023538 33.0202661337
825.0491557410 31.5346893721 31.6471189275
963.5840955467 30.1847917068 30.2511842272
1000.0000000000 29.8622423125 29.9049314547
