x y1 y2 y3 y4
0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0100000000 0.0903508181 0.3757458284 0.2050370353 0.4904320455
0.0200000000 0.1816151902 0.7374854004 0.3690968937 0.9249671039
0.0300000000 0.2437125471 0.9662566511 0.4987364984 1.2212806024
0.0400000000 0.2797270533 1.0402044959 0.5261835300 1.2866609727
0.0500000000 0.3039770873 1.0694633339 0.5034635390 1.2689497855
0.0600000000 0.3287275759 1.1898807278 0.4852934729 1.3464466249
0.0700000000 0.3536895299 1.3196413506 0.4706565499 1.4366083706
0.0800000000 0.3832900766 1.4171450894 0.4803094355 1.5141644483
0.0900000000 0.3974738176 1.5009857016 0.4975524948 1.6010643788
0.1000000000 0.3741441695 1.5229760516 0.5216702074 1.6705020895
0.1100000000 0.3429170051 1.3994497551 0.5716203857 1.6281531357
0.1200000000 0.3088731235 1.1434213646 0.5693732776 1.4039215187
0.1300000000 0.2627149077 0.8789738124 0.4604587050 1.0767176097
0.1400000000 0.2131138728 0.7148329256 0.3431077204 0.8448267732
0.1500000000 0.1737792366 0.5831894141 0.3066898639 0.7161000414
0.1600000000 0.1551584300 0.4061532811 0.2695729244 0.5205677756
0.1700000000 0.1498021898 0.2442068635 0.2128671493 0.3072718230
0.1800000000 0.1497318183 0.1543331887 0.1755513674 0.1801527378
0.1900000000 0.1509752887 0.1127632415 0.1746239639 0.1364119168
0.2000000000 0.1582668298 0.0099909039 0.2869689940 0.1386930681
0.2100000000 0.1667414386 -0.0873643296 0.4278480968 0.1737423286
0.2200000000 0.1669613998 -0.1634495627 0.5046595519 0.1742485894
0.2300000000 0.1548643712 -0.2930854586 0.5067498020 0.0587999722
0.2400000000 0.1511069089 -0.4088807889 0.4849894057 -0.0749982921
0.2500000000 0.1498488635 -0.4924102153 0.4366743709 -0.2055847079
0.2600000000 0.1337187037 -0.5489393013 0.3642345795 -0.3184234255
0.2700000000 0.1406807138 -0.5266717205 0.3907534637 -0.2765989705
0.2800000000 0.1777169128 -0.4099618548 0.4767794632 -0.1108993044
0.2900000000 0.2090874707 -0.2840742666 0.5594406287 0.0662788914
0.3000000000 0.2238361206 -0.1736296600 0.6433745398 0.2459087592
0.3100000000 0.2311955319 -0.0174873682 0.6825809970 0.4338980968
0.3200000000 0.2346926998 0.1540760538 0.6733119364 0.5926952904
0.3300000000 0.2459063188 0.3051975849 0.7031838011 0.7624750672
0.3400000000 0.2844676698 0.4466001662 0.7958854231 0.9580179194
0.3500000000 0.3253610755 0.5889760040 0.9091370528 1.1727519813
0.3600000000 0.3306315010 0.6865540725 0.9997896457 1.3557122172
0.3700000000 0.3035764674 0.6720231067 1.0140073838 1.3824540230
0.3800000000 0.2751175390 0.6299899659 0.9688396850 1.3237121118
0.3900000000 0.2666238629 0.5555535848 0.9326549313 1.2215846532
0.4000000000 0.2437191636 0.4493847133 0.9067829993 1.1124485491
0.4100000000 0.1996045244 0.3720452716 0.9246852362 1.0971259834
0.4200000000 0.1786624793 0.3509640607 1.0322739443 1.2045755258
0.4300000000 0.2022451242 0.3921861526 1.1195054151 1.3094464435
0.4400000000 0.2294029104 0.3946676302 1.1307180177 1.2959827375
0.4500000000 0.2570766267 0.4529351675 1.1182367415 1.3140952824
0.4600000000 0.2964779071 0.5822692498 1.0929538550 1.3787451978
0.4700000000 0.3095014000 0.6522003345 1.0154592697 1.3581582042
0.4800000000 0.2890995956 0.6217178028 0.8723920981 1.2050103053
0.4900000000 0.2800320819 0.5780023871 0.7854852150 1.0834555203
0.5000000000 0.2927658508 0.5780421126 0.7724178638 1.0576941255
0.5100000000 0.3166685728 0.6192320215 0.7970412066 1.0996046553
0.5200000000 0.3537434106 0.6782444208 0.8231785884 1.1476795986
0.5300000000 0.3758688779 0.6452336738 0.7581420542 1.0275068501
0.5400000000 0.4143308005 0.5653650105 0.6651913490 0.8162255590
0.5500000000 0.4623633548 0.4719154347 0.6220783336 0.6316304135
0.5600000000 0.4949668658 0.3659230452 0.6816337375 0.5525899169
0.5700000000 0.5269970210 0.2602449887 0.7803580925 0.5136060602
0.5800000000 0.5382915660 0.1669109575 0.8152100987 0.4438294902
0.5900000000 0.5520829465 0.1020724457 0.7939476774 0.3439371766
0.6000000000 0.5812582450 0.0617701911 0.7767107225 0.2572226686
0.6100000000 0.6163436956 0.0625471024 0.7845702493 0.2307736562
0.6200000000 0.6536086929 0.1012018363 0.8672719799 0.3148651233
0.6300000000 0.6732768574 0.1912758627 1.0293158569 0.5473148621
0.6400000000 0.6673140184 0.3154613709 1.1514353755 0.7995827279
0.6500000000 0.6489476500 0.3758934943 1.2115228278 0.9384686722
0.6600000000 0.6395237431 0.3128092899 1.3071084857 0.9803940325
0.6700000000 0.6526503058 0.1810011492 1.4338193752 0.9621702186
0.6800000000 0.6684768073 0.0684450172 1.5878338506 0.9878020605
0.6900000000 0.6696261392 0.0590249122 1.7303468071 1.1197455801
0.7000000000 0.6371280273 0.0763641960 1.7727501769 1.2119863456
0.7100000000 0.5804151112 0.0557381832 1.7140668261 1.1893898982
0.7200000000 0.5437325087 0.0007638668 1.6736233079 1.1306546660
0.7300000000 0.5092386874 -0.0483320651 1.6920745451 1.1345037926
0.7400000000 0.4675792871 -0.0685641022 1.6692823485 1.1331389592
0.7500000000 0.4353417850 -0.0897583202 1.6005703151 1.0754702100
0.7600000000 0.4037156148 -0.1226866873 1.5381118613 1.0117095592
0.7700000000 0.3834512403 -0.1783024068 1.4947853637 0.9330317165
0.7800000000 0.3897965167 -0.1881274514 1.4532008155 0.8752768474
0.7900000000 0.3980053376 -0.1504998999 1.3562022638 0.8076970263
0.8000000000 0.4262187874 -0.1447171778 1.1713316313 0.6003956661
0.8100000000 0.4535325640 -0.1795384632 0.9695488715 0.3364778443
0.8200000000 0.4477772344 -0.2339219245 0.8321543877 0.1504552287
0.8300000000 0.4507206531 -0.2811640254 0.7379102182 0.0060255397
0.8400000000 0.4535778873 -0.3240338790 0.6026850070 -0.1749267593
0.8500000000 0.4477861203 -0.3324862712 0.4456907161 -0.3345816755
0.8600000000 0.4633058916 -0.3227490472 0.3415160927 -0.4445388460
0.8700000000 0.5189447416 -0.3116942493 0.3330014719 -0.4976375189
0.8800000000 0.5635774006 -0.2734579577 0.3213429679 -0.5156923904
0.8900000000 0.5502514015 -0.2202454847 0.2937044109 -0.4767924752
0.9000000000 0.5146501940 -0.1245698434 0.2939171729 -0.3453028645
0.9100000000 0.4736909980 -0.0310204587 0.2360900095 -0.2686214471
0.9200000000 0.4356155069 0.0231909117 0.1384342173 -0.2739903778
0.9300000000 0.4007901924 0.0410392669 0.1390303687 -0.2207205567
0.9400000000 0.3709831805 0.0836621731 0.2220588709 -0.0652621366
0.9500000000 0.3523664732 0.1226989174 0.2740102543 0.0443426985
0.9600000000 0.3370333650 0.1679779508 0.2766371550 0.1075817408
0.9700000000 0.3268819969 0.1990025848 0.2417272391 0.1138478270
0.9800000000 0.3410745985 0.1844292550 0.2464519107 0.0898065672
0.9900000000 0.3412972511 0.1270495845 0.2466941520 0.0324464854
1.0000000000 0.3200474711 0.0431837454 0.2323867763 -0.0444769495
1.0100000000 0.3190171916 -0.0233630550 0.2833230870 -0.0590571597
1.0200000000 0.3004897971 -0.1370375937 0.3363254699 -0.1012019209
1.0300000000 0.2565969454 -0.2254275717 0.3539656532 -0.1280588638
1.0400000000 0.2206328856 -0.2720084152 0.4068245461 -0.0858167547
1.0500000000 0.2058718041 -0.3485465787 0.4984737279 -0.0559446549
1.0600000000 0.1940886196 -0.3841356131 0.5059129722 -0.0723112605
1.0700000000 0.1543462154 -0.4056311288 0.3767702631 -0.1832070811
1.0800000000 0.1014210834 -0.4568816161 0.2172334240 -0.3410692755
1.0900000000 0.0726052125 -0.5061911732 0.1309474203 -0.4478489654
1.1000000000 0.0614051299 -0.5219179608 0.0890605177 -0.4942625730
1.1100000000 0.0451155888 -0.5118193981 0.0189048181 -0.5380301688
1.1200000000 0.0289831756 -0.5149770638 -0.0257072102 -0.5696674496
1.1300000000 0.0430021690 -0.4790567538 -0.0145090860 -0.5365680088
1.1400000000 0.0702552082 -0.3822182206 -0.0307986837 -0.4832721125
1.1500000000 0.0818649541 -0.2817237944 -0.0923662239 -0.4559549724
1.1600000000 0.0846386069 -0.2285930224 -0.1808436644 -0.4940752936
1.1700000000 0.0961658009 -0.2457846966 -0.2574585751 -0.5994090726
1.1800000000 0.0861858709 -0.2979534252 -0.2951722853 -0.6793115815
1.1900000000 0.0462613623 -0.3657850216 -0.3173468116 -0.7293931955
1.2000000000 0.0173022170 -0.4443243842 -0.2992929163 -0.7609195176
1.2100000000 -0.0038403119 -0.4785217711 -0.3081538652 -0.7828353244
1.2200000000 -0.0319013313 -0.4722399144 -0.4092569213 -0.8495955044
1.2300000000 -0.0431195399 -0.4945820593 -0.4877768328 -0.9392393521
1.2400000000 -0.0225937545 -0.5318691611 -0.5167596609 -1.0260350675
