f y1 y2 y3 y4
0.0000000000 0.0077282666 0.0015117813 0.0493791445 0.0299931335
0.1000000000 0.0382195177 0.0157891311 0.1518822355 0.1040215157
0.2000000000 0.0757714606 0.0979877917 0.2141912514 0.2689602597
0.3000000000 0.1398888796 0.1938456494 0.3880112009 0.4059998279
0.4000000000 3.4065449487 1.4983882451 16.9639524738 14.5254118485
0.5000000000 0.0211750428 0.1001235266 0.0465437511 0.0009085230
0.6000000000 0.0019272209 0.3044934268 0.0014575789 0.2729883664
0.7000000000 0.0199733301 0.0114159859 0.0980730791 0.1161864123
0.8000000000 0.0113138911 0.0093605267 0.0794216017 0.0075686909
0.9000000000 0.0050052969 0.1235658182 0.0123990453 0.1128618474
1.0000000000 0.0194604974 0.1661606061 0.0365598934 0.0726764650
1.1000000000 0.0056478276 0.0475506770 0.1605010117 0.0743643949
1.2000000000 0.0127967224 0.0601617144 0.1091163810 0.0778315408
1.3000000000 0.0020828822 0.1483162248 0.0025935908 0.1507140591
1.4000000000 0.0220074320 0.2973410875 0.0431513721 0.4002697269
1.5000000000 0.0171549183 0.0011146209 0.0242703332 0.0053012893
1.6000000000 0.0063812049 0.0700038726 0.0287578412 0.0274310016
1.7000000000 0.0028103383 0.1081468691 0.0008130424 0.1220833931
1.8000000000 0.0020493374 0.0234156293 0.1444615984 0.1966394419
1.9000000000 0.0383240710 0.1470258027 0.0375171270 0.1093869475
2.0000000000 0.0016396011 0.0099795237 0.0201975827 0.0251693294
2.1000000000 0.0008744557 0.0117609394 0.0232964717 0.0075143073
2.2000000000 0.0051327429 0.0281833973 0.0723419317 0.0170953638
2.3000000000 0.0077773765 0.0378978371 0.0745657551 0.0500299707
2.4000000000 0.0008092687 0.0087575795 0.0001205860 0.0030102658
2.5000000000 0.0008011603 0.0059565731 0.0312314998 0.0165801912
2.6000000000 0.0005088979 0.0089329854 0.1324871268 0.1917995137
2.7000000000 0.0005769115 0.0206830535 0.0278020673 0.0029654059
2.8000000000 0.0005766053 0.0790529685 0.0021928063 0.0925707662
2.9000000000 0.0049974257 0.0342690664 0.0132953172 0.0792764619
3.0000000000 0.0008295923 0.0093846935 0.0855788513 0.1166174477
3.1000000000 0.0015544438 0.0791553827 0.0107094026 0.1264731353
3.2000000000 0.0006384035 0.0029746724 0.0066125750 0.0085726745
3.3000000000 0.0024342071 0.0126217484 0.0457338490 0.0209031188
3.4000000000 0.0090935815 0.0180648456 0.0228029481 0.0148487749
3.5000000000 0.0019591713 0.0912971445 0.0027002896 0.0750333146
3.6000000000 0.0025388595 0.0332279893 0.0098836687 0.0691431931
3.7000000000 0.0002576075 0.0018224974 0.0415283155 0.0296275558
3.8000000000 0.0002982669 0.0019634244 0.0210471723 0.0177014467
3.9000000000 0.0002054721 0.0351497390 0.0004679216 0.0324492981
4.0000000000 0.0000245423 0.0017266670 0.0149169024 0.0173069197
4.1000000000 0.0027174751 0.0076488339 0.0300755774 0.0479405603
4.2000000000 0.0034477467 0.0323837074 0.0030245778 0.0224179287
4.3000000000 0.0005406878 0.0397916201 0.0004881409 0.0415293210
4.4000000000 0.0008409533 0.0058161626 0.0141538911 0.0029918635
4.5000000000 0.0042252049 0.0020984426 0.0075596013 0.0027057455
4.6000000000 0.0001958722 0.0286840962 0.0016741860 0.0411186022
4.7000000000 0.0014123919 0.0361398810 0.0012949028 0.0381256611
4.8000000000 0.0024978976 0.0017891742 0.0065191495 0.0027149920
4.9000000000 0.0000825280 0.0003683689 0.0127277237 0.0149305018
5.0000000000 0.0000213841 0.0140289972 0.0002206906 0.0167771553
5.1000000000 0.0006657698 0.0043040849 0.0037153123 0.0168853391
5.2000000000 0.0036170025 0.0078515155 0.0027321201 0.0060571056
5.3000000000 0.0012842116 0.0158922390 0.0026828479 0.0205856774
5.4000000000 0.0000676428 0.0001870302 0.0001620018 0.0004088169
5.5000000000 0.0002467142 0.0004484654 0.0048165227 0.0077650349
5.6000000000 0.0014155885 0.0014221504 0.0103671060 0.0106710868
5.7000000000 0.0002311815 0.0011833902 0.0030250868 0.0022979721
5.8000000000 0.0001419476 0.0050866106 0.0003817511 0.0071740186
5.9000000000 0.0007790397 0.0024676593 0.0041376298 0.0091364061
6.0000000000 0.0022089764 0.0037539077 0.0014150966 0.0036554887
6.1000000000 0.0000510270 0.0004934643 0.0008896927 0.0006085697
6.2000000000 0.0001212887 0.0042418746 0.0012304323 0.0010540779
6.3000000000 0.0001593739 0.0010248383 0.0059265552 0.0042267134
6.4000000000 0.0000951853 0.0019269399 0.0031035518 0.0087994313
6.5000000000 0.0000612600 0.0097967049 0.0000258213 0.0083392430
6.6000000000 0.0001266461 0.0005094616 0.0021768573 0.0045115199
6.7000000000 0.0000816333 0.0000713237 0.0038944219 0.0034426891
6.8000000000 0.0004171493 0.0072840031 0.0008763300 0.0093053993
6.9000000000 0.0001032565 0.0062344989 0.0001243839 0.0071289690
7.0000000000 0.0008059190 0.0027102965 0.0018563162 0.0055758009
7.1000000000 0.0005516875 0.0003762571 0.0008672192 0.0015271840
7.2000000000 0.0002297997 0.0019023864 0.0007477051 0.0007888300
7.3000000000 0.0001405754 0.0016713338 0.0003813399 0.0005828306
7.4000000000 0.0009595000 0.0013126847 0.0008724882 0.0015898832
7.5000000000 0.0001856855 0.0010097372 0.0026618090 0.0054309572
7.6000000000 0.0000708778 0.0030577691 0.0000047710 0.0029196039
7.7000000000 0.0000085745 0.0001555804 0.0018929327 0.0017982380
7.8000000000 0.0006708433 0.0002985450 0.0011047963 0.0006577702
7.9000000000 0.0000449576 0.0008622344 0.0006063790 0.0030222178
8.0000000000 0.0000335989 0.0006382700 0.0000936007 0.0003844382
8.1000000000 0.0003257174 0.0010179013 0.0007908405 0.0005287709
8.2000000000 0.0004153967 0.0010631090 0.0008867385 0.0006528261
8.3000000000 0.0002022433 0.0027410030 0.0007586273 0.0047543418
8.4000000000 0.0000006370 0.0019547184 0.0000268858 0.0021124814
8.5000000000 0.0000827805 0.0002245175 0.0032631531 0.0019354942
8.6000000000 0.0003386131 0.0005415410 0.0002825192 0.0002322837
8.7000000000 0.0000922781 0.0008955692 0.0000768393 0.0017521242
8.8000000000 0.0000483959 0.0008167872 0.0002660152 0.0002892255
8.9000000000 0.0002181363 0.0006292110 0.0019620809 0.0013691501
9.0000000000 0.0002466757 0.0006377225 0.0002722292 0.0010357276
9.1000000000 0.0000135334 0.0000911676 0.0000829261 0.0001981100
9.2000000000 0.0000796783 0.0005172696 0.0006163501 0.0017641681
9.3000000000 0.0005754395 0.0007206217 0.0002463882 0.0003736025
9.4000000000 0.0001557077 0.0011407718 0.0001081790 0.0010783849
9.5000000000 0.0000011592 0.0014183564 0.0000545313 0.0009845492
9.6000000000 0.0000133736 0.0001726932 0.0006184299 0.0005321543
9.7000000000 0.0001142017 0.0001573776 0.0015497783 0.0018958861
9.8000000000 0.0000111409 0.0000854135 0.0002267936 0.0000811406
9.9000000000 0.0000001560 0.0000656880 0.0003901939 0.0001450319
10.0000000000 0.0000876308 0.0000521732 0.0001325393 0.0002916677
