r h1 h2
0.0000000000 0.0013842862 -0.0022717672
0.0100000000 0.0010466073 -0.0011603824
0.0200000000 0.0005674810 -0.0013537963
0.0300000000 0.0010915776 -0.0009508003
0.0400000000 0.0006824543 -0.0003640013
0.0500000000 0.0010861987 -0.0007428802
0.0600000000 0.0003290873 -0.0015258620
0.0700000000 0.0012582016 -0.0013374176
0.0800000000 0.0010026114 -0.0014033484
0.0900000000 0.0010565952 -0.0020006069
0.1000000000 0.0009254893 -0.0029595612
0.1100000000 0.0023455977 -0.0016149412
0.1200000000 0.0010544988 -0.0006428728
0.1300000000 0.0009629552 -0.0004989194
0.1400000000 0.0004152477 -0.0018028540
0.1500000000 0.0018128731 -0.0014551218
0.1600000000 0.0012480372 -0.0003100248
0.1700000000 0.0014971710 -0.0001010085
0.1800000000 0.0011489281 -0.0006529929
0.1900000000 0.0016383348 -0.0007564342
0.2000000000 0.0034809424 -0.0011497834
0.2100000000 0.0027476544 -0.0012207235
0.2200000000 0.0033954891 -0.0014750148
0.2300000000 0.0028744403 -0.0006822518
0.2400000000 0.0031342780 -0.0003415222
0.2500000000 0.0023696374 0.0000491590
0.2600000000 0.0022916314 -0.0004772961
0.2700000000 0.0031836185 -0.0004110407
0.2800000000 0.0028944072 -0.0004487883
0.2900000000 0.0033464300 -0.0008257577
0.3000000000 0.0034775848 -0.0016420427
0.3100000000 0.0026861757 -0.0015200886
0.3200000000 0.0024255482 -0.0014289533
0.3300000000 0.0031607615 -0.0014851160
0.3400000000 0.0033995617 -0.0005724065
0.3500000000 0.0037177843 -0.0017417817
0.3600000000 0.0033183568 -0.0020290037
0.3700000000 0.0034630144 -0.0018071854
0.3800000000 0.0029833182 -0.0014519755
0.3900000000 0.0046359797 -0.0011600120
0.4000000000 0.0034417614 -0.0019559784
0.4100000000 0.0043385603 -0.0028305235
0.4200000000 0.0049572964 -0.0031741900
0.4300000000 0.0049427167 -0.0017168494
0.4400000000 0.0045948432 -0.0015813876
0.4500000000 0.0047707840 -0.0021999159
0.4600000000 0.0047848521 -0.0021504503
0.4700000000 0.0040280021 -0.0020436023
0.4800000000 0.0041980606 -0.0020145871
0.4900000000 0.0050541317 -0.0021080480
0.5000000000 0.0050566759 -0.0020620990
0.5100000000 0.0057443925 -0.0025861289
0.5200000000 0.0058968846 -0.0021025203
0.5300000000 0.0053117917 -0.0010433154
0.5400000000 0.0056860939 0.0006941521
0.5500000000 0.0064800055 -0.0001819360
0.5600000000 0.0080150707 -0.0012108907
0.5700000000 0.0083132275 -0.0008398892
0.5800000000 0.0072171393 -0.0007636361
0.5900000000 0.0072767929 0.0007820665
0.6000000000 0.0081609488 -0.0000251604
0.6100000000 0.0086730526 0.0001587464
0.6200000000 0.0093104444 -0.0005868338
0.6300000000 0.0092842867 -0.0016036177
0.6400000000 0.0084126426 -0.0015269502
0.6500000000 0.0088145541 -0.0006742730
0.6600000000 0.0103306986 -0.0002219095
0.6700000000 0.0109010837 0.0009607552
0.6800000000 0.0124402682 -0.0010756845
0.6900000000 0.0116904492 -0.0014734874
0.7000000000 0.0109280291 -0.0016446988
0.7100000000 0.0106205094 -0.0011357622
0.7200000000 0.0119084412 -0.0005438699
0.7300000000 0.0114405839 -0.0014188247
0.7400000000 0.0118123596 -0.0012164992
0.7500000000 0.0123307374 -0.0014831057
0.7600000000 0.0123641898 -0.0012787799
0.7700000000 0.0137398063 -0.0014307409
0.7800000000 0.0133566212 -0.0007845255
0.7900000000 0.0122394527 -0.0000632830
0.8000000000 0.0133401940 0.0016709256
0.8100000000 0.0128031270 0.0011446829
0.8200000000 0.0128598469 0.0012611725
0.8300000000 0.0133156837 0.0018725189
0.8400000000 0.0130540360 0.0019187391
0.8500000000 0.0132997325 0.0015148915
0.8600000000 0.0144161003 0.0023244625
0.8700000000 0.0153690039 0.0031785718
0.8800000000 0.0146222962 0.0023960458
0.8900000000 0.0144251454 0.0010249715
0.9000000000 0.0137181166 0.0013463235
0.9100000000 0.0137958163 0.0012825427
0.9200000000 0.0135061372 0.0023480844
0.9300000000 0.0146672864 0.0013250233
0.9400000000 0.0145984138 0.0012149089
0.9500000000 0.0151025103 0.0017083387
0.9600000000 0.0145827628 0.0015168861
0.9700000000 0.0151180386 0.0023714620
0.9800000000 0.0162792923 0.0026476911
0.9900000000 0.0156492700 0.0024693020
1.0000000000 0.0160426459 0.0025700004
1.0100000000 0.0172600216 0.0024985991
1.0200000000 0.0171000169 0.0020438468
1.0300000000 0.0168533437 0.0013989710
1.0400000000 0.0173921925 0.0017805920
1.0500000000 0.0185982076 0.0020017503
1.0600000000 0.0175502933 0.0017855926
1.0700000000 0.0165311434 0.0023415588
1.0800000000 0.0169261041 0.0021652358
1.0900000000 0.0183177964 0.0022155528
1.1000000000 0.0184678826 0.0015890389
1.1100000000 0.0184607610 0.0015986800
1.1200000000 0.0193041831 0.0012476200
1.1300000000 0.0195106029 0.0021820939
1.1400000000 0.0186673877 0.0022190951
1.1500000000 0.0188711480 0.0020953823
1.1600000000 0.0186960575 0.0027464712
1.1700000000 0.0195775969 0.0036733623
1.1800000000 0.0194235723 0.0020269908
1.1900000000 0.0197632778 0.0022044166
1.2000000000 0.0202742298 0.0024321100
1.2100000000 0.0188866460 0.0032591474
1.2200000000 0.0188144038 0.0029785264
1.2300000000 0.0198837325 0.0040518623
1.2400000000 0.0201810283 0.0046341102
1.2500000000 0.0211012173 0.0035288690
1.2600000000 0.0216820399 0.0043561670
1.2700000000 0.0211629462 0.0049302250
1.2800000000 0.0199688608 0.0050186140
1.2900000000 0.0188657406 0.0043218645
1.3000000000 0.0189972481 0.0049644499
1.3100000000 0.0190663910 0.0049661059
1.3200000000 0.0191857481 0.0051664125
1.3300000000 0.0191898792 0.0043398311
1.3400000000 0.0193888620 0.0040049398
1.3500000000 0.0196418929 0.0045489103
1.3600000000 0.0196219139 0.0043487664
1.3700000000 0.0183580852 0.0044119122
1.3800000000 0.0184836968 0.0060089787
1.3900000000 0.0183687650 0.0057377131
1.4000000000 0.0180118227 0.0045977141
1.4100000000 0.0177179182 0.0042816419
1.4200000000 0.0177057051 0.0032126826
1.4300000000 0.0166735676 0.0028884394
1.4400000000 0.0171334717 0.0020453842
1.4500000000 0.0183031117 0.0016995763
1.4600000000 0.0180991563 0.0013703935
1.4700000000 0.0184827750 0.0008871371
1.4800000000 0.0180169271 0.0016984546
1.4900000000 0.0185447101 0.0014539839
1.5000000000 0.0190230252 0.0000654925
1.5100000000 0.0187144730 0.0011243266
1.5200000000 0.0192052572 0.0011508648
1.5300000000 0.0177643150 0.0016422977
1.5400000000 0.0174822375 0.0015892373
1.5500000000 0.0165063741 0.0014964210
1.5600000000 0.0153169124 0.0006639091
1.5700000000 0.0154504053 0.0022562365
1.5800000000 0.0162531903 0.0017800739
1.5900000000 0.0156023063 0.0015112259
1.6000000000 0.0154651390 0.0008611065
1.6100000000 0.0160489243 0.0017816654
1.6200000000 0.0142114537 0.0018287433
1.6300000000 0.0148410122 0.0007339079
1.6400000000 0.0148392325 0.0002074563
1.6500000000 0.0153311870 0.0007956224
1.6600000000 0.0147527399 0.0002804742
