x z1 z2 z3
   1 0.9999744027 0.9984752068 0.9984752068
   2 0.9999967083 0.9993296532 0.9993296532
   3 0.9999918190 0.9996747783 0.9996747783
   4 0.9999852913 0.9999877094 0.9999877094
   5 0.9999962359 0.9999984021 0.9999984021
   6 0.9999983600 0.9999980871 0.9999980871
   7 0.9999994029 0.9999984298 0.9999984298
   8 0.9999995442 0.9999996239 0.9999996239
   9 0.9999993691 0.9999997435 0.9999997435
  10 0.9999990582 0.9999996334 0.9999996334
  11 0.9999971069 0.9999997438 0.9999997438
  12 0.9999988825 0.9999992092 0.9999992092
  13 0.9999987584 0.9999992131 0.9999992131
  14 0.9999994146 0.9999988590 0.9999988590
  15 0.9999995187 0.9999988069 0.9999988069
  16 0.9999995182 0.9999991077 0.9999991077
  17 0.9999993782 0.9999988145 0.9999988145
  18 0.9999986814 0.9999996000 0.9999996000
  19 0.9999991840 0.9999982526 0.9999982526
  20 0.9999983217 0.9999983003 0.9999983003
  21 0.9999993609 0.9999978167 0.9999978167
  22 0.9999991421 0.9999981831 0.9999981831
  23 0.9999991897 0.9999991933 0.9999991933
  24 0.9999996687 0.9999990761 0.9999990761
  25 0.9999994488 0.9999985009 0.9999985009
  26 0.9999966846 0.9999979427 0.9999979427
  27 0.9999963084 0.9999947921 0.9999947921
  28 0.9999948116 0.9999961884 0.9999961884
  29 0.9999974406 0.9999978804 0.9999978804
  30 0.9999994778 0.9999993500 0.9999993500
  31 0.9999992878 0.9999993221 0.9999993221
  32 0.9999990006 0.9999988636 0.9999988636
  33 0.9999981993 0.9999968929 0.9999968929
  34 0.9999945857 0.9999955597 0.9999955597
  35 0.9999959784 0.9999970452 0.9999970452
  36 0.9999975864 0.9999975022 0.9999975022
  37 0.9999952111 0.9999983698 0.9999983698
  38 0.9999963224 0.9999981022 0.9999981022
  39 0.9999995942 0.9999984559 0.9999984559
  40 0.9999965821 0.9999986448 0.9999986448
  41 0.9999930078 0.9999974457 0.9999974457
  42 0.9999940237 0.9999936819 0.9999936819
  43 0.9999953797 0.9999929886 0.9999929886
  44 0.9999961957 0.9999936205 0.9999936205
  45 0.9999966543 0.9999969534 0.9999969534
  46 0.9999985225 0.9999981195 0.9999981195
  47 0.9999980511 0.9999969890 0.9999969890
  48 0.9999945735 0.9999975632 0.9999975632
  49 0.9999967824 0.9999931768 0.9999931768
  50 0.9999760466 0.9999834500 0.9999834500
  51 0.9999909098 0.9999898414 0.9999898414
  52 0.9999961981 0.9999965916 0.9999965916
  53 0.9999969391 0.9999977086 0.9999977086
  54 0.9999984438 0.9999971106 0.9999971106
  55 0.9999967184 0.9999959153 0.9999959153
  56 0.9999924799 0.9999871327 0.9999871327
  57 0.9999916316 0.9999961996 0.9999961996
  58 0.9999945404 0.9999958959 0.9999958959
  59 0.9999939093 0.9999930698 0.9999930698
  60 0.9999943492 0.9999978203 0.9999978203
  61 0.9999968973 0.9999974236 0.9999974236
  62 0.9999980370 0.9999968312 0.9999968312
  63 0.9999916869 0.9999948127 0.9999948127
  64 0.9999816644 0.9999714052 0.9999714052
  65 0.9999907344 0.9999706848 0.9999706848
  66 0.9999928248 0.9999777685 0.9999777685
  67 0.9999934014 0.9999927459 0.9999927459
  68 0.9999964722 0.9999968557 0.9999968557
  69 0.9999979130 0.9999970176 0.9999970176
  70 0.9999956191 0.9999954057 0.9999954057
  71 0.9999923591 0.9999890628 0.9999890628
  72 0.9999881071 0.9999893427 0.9999893427
  73 0.9999872711 0.9999914874 0.9999914874
  74 0.9999913630 0.9999841346 0.9999841346
  75 0.9999813542 0.9999843940 0.9999843940
  76 0.9999955015 0.9999891263 0.9999891263
  77 0.9999914635 0.9999830678 0.9999830678
  78 0.9999919042 0.9999877785 0.9999877785
  79 0.9999837780 0.9999794559 0.9999794559
  80 0.9999887883 0.9999808595 0.9999808595
  81 0.9999863836 0.9999756671 0.9999756671
  82 0.9999850690 0.9999835887 0.9999835887
  83 0.9999952081 0.9999872591 0.9999872591
  84 0.9999933105 0.9999914469 0.9999914469
  85 0.9999879211 0.9999882220 0.9999882220
  86 0.9999782013 0.9999786883 0.9999786883
  87 0.9999945978 0.9999516015 0.9999516015
  88 0.9999631580 0.9999454278 0.9999454278
  89 0.9999874329 0.9999698211 0.9999698211
  90 0.9999864011 0.9999762924 0.9999762924
  91 0.9999906779 0.9999893498 0.9999893498
  92 0.9999928519 0.9999719708 0.9999719708
